mnemonic,item_code,item_name,confidentiality,item_type,description
FCEX,9207,PHYSICAL NATION CODE,Y,F,A five-digit number assigned to countries by geographic location. The coding system was developed for the Federal Reserve Banks and the Treasury in processing the Treasury International Capital Forms. The first four digits of the country code represents the actual code. The fifth number is a check digit calculated by the 'Modules 11 Method'. Note: The check digit is used only for processing. The codes and names are listed below. Zero filled indicates not applicable (individuals and pseudo entiti
FCEX,9224,LEGAL ENTITY IDENTIFIER,Y,F,The Legal Entity Identifier (LEI) is a 20-digit alpha-numeric reference code to uniquely identify a legally distinct entity that engages in a financial transaction. The purpose for the LEI is to have a unified global identification system for legal entities across markets and jurisdictions. The LEI will be a linchpin for financial data-the first global and unique entity identifier enabling risk managers and regulators to identify parties to financial transactions instantly and precisely.
FCEX,A152,AMOUNTS REPORTED IN ITEM 8580 AFTER ADJUSTMENTS IN ITEMS 8586; 8587; 8588; 8590; 8591 AND 8592 THAT REPRESENT ASSETS HELD FOR TRADING,Y,F,FFIEC009(FCEX) - Includes by country; the fair value of the respondent's outstanding claims reported in item 8580 (column 4) after adjustments in items 8586; 8587; 8588; 8590; 8591 and 8592 (columns 8-13) that satisfies the coverage and definition of claims given in Part III; definition J. NOTE: Beginning 3/31/2006; moved to Schedule 1.a. Reported on Schedule 1 for the FFIEC 009 report. Also reported as confidential. FFIEC009A (CEXA) - For each country; distribute the amounts reported in Columns
FCEX,A153,ALL COMMITMENTS,Y,F,Includes by country of the account party; all contractual commitments such as legally binding lines of credit and formal guarantees (as defined in Part III; definition C). Also includes all outstanding commercial letters of credit issued or confirmed (as defined in Part III; definition E). Excludes advised letters of credit and any such letters of credit issued on behalf of U.S. residents. Includes all (a) outstanding standby letters of credit issued or confirmed and (b) amounts outstanding of p
FCEX,A154,TRADING FINANCING,Y,F,Includes by country; the claims and commitments reported in items 8577; 8578; 8579; 8580 and A153 (columns 1-4 and 15) that satifies the coverage and definition of claims given in Part III; definition F. NOTE: Reported on Schedule 1 for the FFIEC 009 report. Also reported as confidential.
FCEX,A334,FAIR VALUE OF FOREIGN EXCHANGE AND DERIVATIVE PRODUCTS - BANKS,Y,F,Report the positive fair value of derivative contracts by sector (see Section II.C of the instructions) in Columns 1 through 3; and the total in Column 4. If reporter chooses to report separately foreign office claims in Columns 6 and foreign office liabilities in Column 7; report only cross-border claims in Columns 1 through 4 (refer to instructions for Columns 6 and 7). Otherwise; report in Columns 1 through 4 both cross-border claims and foreign office claims on local residents that result fr
FCEX,A335,FAIR VALUE OF FOREIGN EXCHANGE AND DERIVATIVE PRODUCTS - PUBLIC,Y,F,For definition see item no. A334. NOTE: Prior to 3/31/06; title was 'Revaluation Gains on Foreign Exchange and Derivative Products on Public Borrowers' and included the amounts of revaluation gains on foreign exchange and derivative products on public borrowers. Reported on Schedule 2 for the FFIEC 009 report. Also reported as confidential.
FCEX,A336,FAIR VALUE OF FOREIGN EXCHANGE AND DERIVATIVE PRODUCTS - OTHER,Y,F,For definition see item no. A334. NOTE: Prior to 3/31/06; title was 'Revaluation Gains on Foreign Exchange and Derivative Product on Other Borrowers' and included the amounts of revaluation gains on foreign exchange and derivative products on other borrowers. Reported on Schedule 2 for the FFIEC 009 report. Also reported as confidential.
FCEX,A337,FAIR VALUE OF FOREIGN EXCHANGE AND DERIVATIVE PRODUCTS - TOTAL,Y,F,For definition see item no. A334. NOTE: Prior to 3/31/06; title was 'Total Revaluation Gains on Foreign Exchange and Derivative Products' and included the total amounts of revaluation gains on foreign exchange and derivative products. Reported on Schedule 2 for the FFIEC 009 report. Also reported as confidential.
FCEX,A338,MEMORANDUM: CLAIMS ON BRANCHES WITH NO GUARANTEE FROM PARENT,Y,F,Includes the total amounts of net positive residual exposure. NOTE: Reported on Schedule 2 for the FFIEC 009 report. Also reported as confidential.
FCEX,A339,LOCAL COUNTRY CLAIMS ON LOCAL RESIDENTS,Y,F,Includes on each country line; claims of a foreign office of the reporting institution that are claims on residents of the country in which the office is located. Such claims may be denominated in either local or non-local currency. Entries are made in this item (column 6) for a particular country line only if the reporting bank has a branch or subsidiary in that country. Excludes foreign office claims on local residents that are: guaranteed by residents of other countries; claims on local branc
FCEX,A340,LOCAL COUNTRY LIABILITIES,Y,F,Includes local country liabilities. Local country liabilities are the liabilities of the respondent's foreign office that represents legal obligations of the foreign office and for which no payment is guaranteed at locations outside of the country of that office. Local country liabilities may be to residents or non-residents and payable in local or non-local currencies. NOTE: Beginning 12/31/1987; reported on the DB2 CEXC01; CEXI01; and CEXR01 Tables. Reported on Schedule 2 for the FFIEC 009 rep
FCEX,C481,DUPLICATE DATA IDENTIFIER,Y,F,This item is used to identify respondents whose data are also reported in the consolidated data of another respondent during the same report period. NOTE: This item is the same as item number 8787 (RPMS Reporting Exception Code). Reported on the FFIEC 009 (FCEX) report.
FCEX,C490,NAME OF AUTHORIZED OFFICER,Y,F,Includes the name of the authorized officer signing the reports. NOTE: Reported on Contact Information for the FFIEC 031 and 041 reports. Reported as confidential for the Call Report. Added to the Y9C &amp; LP 20060930 (MDRM was TEXTC490 for 20060930 reporting period) as confidential item. C and LP began using BHCKC490 and BHCPC490; respectively on the 20061231 report. Added to FR Y-9SP 20061231 using BHSPC490 as confidential item. Added to FR Y-12A 20061231. Printed Name of Senior Officer - Add
FCEX,C491,TITLE OF AUTHORIZED OFFICER,Y,F,Includes the title of the authorized officer signing the reports. NOTE: Reported on Contact Information for the FFIEC 031 and 041 reports. Reported as confidential on the Call Report.
FCEX,C496,TITLE OF PERSON TO WHOM QUESTIONS ARE DIRECTED,Y,F,Effective 10/24/2011; the FR 2572 information collection was transferred to the Consumer Financial Protection Bureau (CFPB); removing it from the Board's OMB inventory and adding it to the CFPB's under control number 3170-0001 Includes the title of other person to whom questions are directed. NOTE: Transmitted as Text. Reported on Contact Information for the FFIEC 031 and 041 reports. Reported as confidential on the Call Report.
FCEX,C915,IMMEDIATE-COUNTERPARTY BASIS: CROSS-BORDER CLAIMS-BANKS,Y,F,Report all cross-border claims in any currency. NOTE: Reported on Schedule 1 for the FFIEC 009 report.
FCEX,C916,IMMEDIATE-COUNTERPARTY BASIS:CROSS-BORDER CLAIMS-PUBLIC,Y,F,Report all cross-border claims in any currency. NOTE: Reported on Schedule 1 for the FFIEC 009 report.
FCEX,C917,IMMEDIATE-COUNTERPARTY BASIS:CROSS-BORDER CLAIMS-OTHER,Y,F,Report all cross-border claims in any currency. NOTE: Reported on Schedule 1 for the FFIEC 009 report.
FCEX,C918,IMMEDIATE-COUNTERPARTY BASIS:FOREIGN-OFFICE CLAIMS ON LOCAL RESIDENTS IN NON-LOCAL CURRENCY-BANKS,Y,F,Report all foreign office claims in currencies other than the official currency of the country in which the local office exists. Allocate the claims to each section (see Section II.C) and each country row (see Section III) based upon the sector and residence/entity type of the direct obligor. NOTE: Reported on Schedule 1 for the FFIEC 009 report.
FCEX,C919,IMMEDIATE-COUNTERPARTY BASIS:FOREIGN-OFFICE CLAIMS ON LOCAL RESIDENTS IN NON-LOCAL CURRENCY-PUBLIC,Y,F,For definition see item C918. NOTE: Reported on Schedule 1 for the FFIEC 009 report.
FCEX,C920,IMMEDIATE-COUNTERPARTY BASIS:FOREIGN-OFICE CLAIMS ON LOCAL RESIDENTS IN NON-LOCAL CURRENCY-OTHER,Y,F,For definition see item no. C918. NOTE: Reported on Schedule 1 for the FFIEC 009 report.
FCEX,C921,IMMEDIATE COUNTERPARTY BASIS: CROSS BORDER CLAIM AND FOREIGN OFFICE CLAIMS ON LOCAL RESIDENTS IN NON-LOCAL CURRENCY WITH REMAINING MATURITY UP TO AND INCLUDING 1 YEAR,Y,F,Report all claims reported in Columns 1 through 6 that have 1 year or less to the remaining contractual maturity date except as described below. The definition of 'one year' should be consisent with the definition used in the FFIEC 031 and the FR Y-9C. Marketabale equity investments; both trading and available-for-sale; should be reported as maturing under one year; because they are liquid investments. Debt securities held in the trading account should be reported in the one year and under categ
FCEX,C922,IMMEDIATE COUNTERPARTY BASIS: FOREIGN-OFFICE CLAIMS ON LOCAL RESIDENTS IN LOCAL CURRENCY,Y,F,Report all foreign office claims on local residens in the official currency of the country in which the local office exists (see Sections II.E and II.F in the instructions). Note that all claims on residents of another country and claims of the foreign office in a non-local currency on residents of the same country should be reported in Columns 1 through 6 and excluded from this column. NOTE: Reported on Schedule 1 for the FFIEC 009 report.
FCEX,C923,REDISTRIBUTION OF CLAIMS TO ADJUST FOR ULTIMATE RISK: OUTWARD RISK TRANSFERS OF CLAIMS ON FOREIGN OR U.S. RESIDENTS - CLAIMS ON BANKS,Y,F,Report (as a positive number); for each country row; all required transfers from banks located in that country of claims reported in Coums 1; 4; and 8 or of claims on banks located in the United States. NOTE: Reported on Schedule 1 for the FFIEC 009 report.
FCEX,C924,REDISTRIBUTION OF CLAIMS TO ADJUST FOR ULTIMATE RISK: OUTWARD RISK TRANSFERS OF CLAIMS ON FOREIGN OR U.S. RESIDENTS - CLAIMS ON PUBLIC,Y,F,Report (as a positive number); for each country row; all required risk transfers from the public ssector located in that country of claims reported in Columns 2; 5; and 8 or of claims on public sector located in the United States. NOTE: Reported on Schedule 1 for the FFIEC 009 report.
FCEX,C925,REDISTRIBUTION OF CLAIMS TO ADJUST FOR ULTIMATE RISK: OUTWARD RISK TRANSFERS OF CLAIMS REPORTED IN COLUMNS 1 THROUGH 6 AND 8; OR ON U.S. RESIDENTS - CLAIMS ON OTHER,Y,F,Report (as a positive number); for each country row; all required risk transfers from all persons; businesses; and institutions other than banks and the public sector located in that country of claims reported in Columns 3; 6; and 8 or of claims on non-bank; non-public-sector entities located in the United States. NOTE: Reported on Schedule 1 for the FFIEC 009 report.
FCEX,C926,REDISTRIBUTION OF CLAIMS TO ADJUST FOR ULTIMATE RISK: INWARD RISK TRANSFERS OF CLAIMS ON FOREIGN OR U.S. RESIDENTS - CLAIMS ON BANKS,Y,F,Report for each country row; all required risk transfers to banks located in that country of claims reported in Columns 9through 11. NOTE: Reported on Schedule 1 for the FFIEC 009 report.
FCEX,C927,REDISTRIBUTION OF CLAIMS TO ADJUST FOR ULTIMATE RISK: INWARD RISKS TRANSFERS OF CLAIMS ON FOREIGN OR U.S. RESIDENTS - CLAIMS ON PUBLIC,Y,F,Report for each country row; all required transfers to the public sector located in that country of claims reported in Columns 9 through 11. NOTE: Reported on the Schedule 1 for the FFIEC 009 report.
FCEX,C928,REDISTRIBUTION OF CLAIMS TO ADJUST FOR ULTIMATE RISK: INWARD RISK TRANSFERS OF CLAIMS REPORTED IN COLUMNS 1 THROUGH 6 AND 8; OR ON U.S. RESIDENTS - CLAIMS ON OTHER,Y,F,Report for each country row; all required transfers to others (i.e.; non-bank; non-public-sector entities) located in that country of claims reported in Columns 9 through 11. NOTE: Reported on Schedule 1 for the FFIEC 009 report.
FCEX,C929,ULTIMATE-RISK BASIS: CROSS-BORDER CLAIMS - BANKS,Y,F,Report all claims that; on an ultimate risk basis; are cross-border claims;i.e.; claims for which the ultimate obligor; after required risk transfers; is a resident of a country other than the country of the office that holds the claim. The claims should be allocated to each column bassed upon the sector of the ultimate obligor (see Section II.C in the instructions) and to each row bassed upon the country in which the ultimate obligor is located (see Section III). Claims for which the ultimate o
FCEX,C930,ULTIMATE-RISK BASIS: CROSS-BORDER CLAIMS - PUBLIC,Y,F,For definition see item no. C929. NOTE: Reported on Schedule 1 for the FFIEC 009 report.
FCEX,C931,ULTIMATE-RISK BASIS: CROSS-BORDER CLAIMS - OTHER,Y,F,For definition see item no. C929. NOTE: Reported on Schedule 1 for the FFIEC 009 report.
FCEX,C932,ULTIMATE-RISK BASIS: FOREIGN-OFFICE CLAIMS ON LOCAL RESIDENTS - BANKS,Y,F,Report all claims that; on an ultimate risk basis; are foreign office claims on local residents--i.e.; claims for which the ultimate obligor; after required risk transfers; is a resident of the country in which the foreign office is located. The claims should be allocated to each column based upon the sector of the ultimate obligor (see Section II.C of the instructions) and to each row bassed upon the country in which ultimate obligor (and the foreign office) is located (see Section III). NOTE: 
FCEX,C933,ULTIMATE-RISK BASIS: FOREIGN-OFFICE CLAIMS ON LOCAL RESIDENTS - PUBLIC,Y,F,For definition see item no. C932. NOTE: Reported on Schedule 1 for the FFIEC 009 report.
